dataset name,AUC of VCNN,AUC of Deepbind
wgEncodeAwgTfbsSydhGm12878Znf274UniPk,0.999526515,0.383049
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xEtoh02UniPk,0.985162691,0.485167
wgEncodeAwgTfbsSydhK562Rad21UniPk,0.991665636,0.502238
wgEncodeAwgTfbsUtaHuvecCtcfUniPk,0.987813248,0.49866
wgEncodeAwgTfbsUwHl60CtcfUniPk,0.992183581,0.506026
wgEncodeAwgTfbsUwGm12875CtcfUniPk,0.979820172,0.497688
wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk,0.980446175,0.498847
wgEncodeAwgTfbsUwHmecCtcfUniPk,0.974756361,0.494421
wgEncodeAwgTfbsUwHaspCtcfUniPk,0.981203128,0.50426
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01cUniPk,0.951414996,0.477065
wgEncodeAwgTfbsUwHcfaaCtcfUniPk,0.981923384,0.507981
wgEncodeAwgTfbsUtaProgfibCtcfUniPk,0.973701157,0.500216
wgEncodeAwgTfbsUwWi38CtcfUniPk,0.96972571,0.503211
wgEncodeAwgTfbsUwHacCtcfUniPk,0.968850613,0.504058
wgEncodeAwgTfbsBroadGm12878CtcfUniPk,0.963820536,0.500492
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk,0.960978452,0.499961
wgEncodeAwgTfbsUtaMcf7CtcfUniPk,0.959017045,0.502269
wgEncodeAwgTfbsSydhHelas3JundIggrabUniPk,0.954341783,0.501679
wgEncodeAwgTfbsBroadHelas3CtcfUniPk,0.95201848,0.502691
wgEncodeAwgTfbsHaibA549Foxa1V0416102Dex100nmUniPk,0.924430743,0.490971
wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk,0.922997466,0.491661
wgEncodeAwgTfbsSydhGm12878NfybIggmusUniPk,0.928120653,0.5025
wgEncodeAwgTfbsSydhK562Stat1Ifng30UniPk,0.927873199,0.503469
wgEncodeAwgTfbsHaibHepg2Atf3V0416101UniPk,0.917344154,0.494237
wgEncodeAwgTfbsSydhK562Rpc155UniPk,0.90907393,0.488078
wgEncodeAwgTfbsSydhGm12878NfyaIggmusUniPk,0.899224387,0.480208
wgEncodeAwgTfbsUtaHuvecCmycUniPk,0.887943522,0.475742
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk,0.900187416,0.496471
wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk,0.898825655,0.497961
wgEncodeAwgTfbsHaibGm12878Yy1sc281Pcr1xUniPk,0.899931041,0.499727
wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk,0.894793698,0.499475
wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk,0.897179338,0.502386
wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk,0.890275554,0.49762
wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk,0.890932759,0.502117
wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk,0.891742679,0.506816
wgEncodeAwgTfbsSydhGm12878Elk112771IggmusUniPk,0.878162753,0.493492
wgEncodeAwgTfbsSydhHelas3Tr4UniPk,0.857794354,0.474549
wgEncodeAwgTfbsSydhNb4MaxUniPk,0.88738772,0.504509
wgEncodeAwgTfbsHaibK562SrfV0416101UniPk,0.876206774,0.493733
wgEncodeAwgTfbsHaibT47dGata3sc268V0416102Dm002p1hUniPk,0.874577907,0.496182
wgEncodeAwgTfbsSydhHelas3E2f1UniPk,0.876703862,0.501213
wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk,0.869136026,0.49426
wgEncodeAwgTfbsHaibHuvecPol24h8V0416101UniPk,0.855975269,0.492441
wgEncodeAwgTfbsSydhK562Znf263UcdUniPk,0.866820989,0.50753
wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk,0.866771074,0.513023
wgEncodeAwgTfbsSydhHelas3Mazab85725IggrabUniPk,0.846511142,0.496083
wgEncodeAwgTfbsSydhH1hescSin3anb6001263IggrabUniPk,0.837131669,0.493465
wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk,0.815593639,0.473564
wgEncodeAwgTfbsSydhK562Mxi1af4185IggrabUniPk,0.859065262,0.517369
wgEncodeAwgTfbsHaibA549Tcf12V0422111Etoh02UniPk,0.840717854,0.502719
wgEncodeAwgTfbsSydhGm12878MaxIggmusUniPk,0.834515688,0.496989
